id,xxx,prediction
0,EQWTT342X,clust1
1,KNCZ4YJSD,clust1
2,UCW9B7OJY,clust1
3,DPV7EJZH2,clust1
4,A2ZIRTS2S,clust1
5,L3DXDDMDC,clust1
6,JSY8T0IMZ,clust1
7,IAZMXLYGO,clust2
8,VQW9EZR97,clust2
9,BUP89CDTM,clust2
10,Q78D3UVMR,clust2
11,AA8BUULLY,clust2
12,PPPKMJEK4,clust2
13,XXEP9MSBI,clust2
14,XQ4VYF04Y,clust2
15,E0YST25E6,clust2
16,KZMNFSQVG,clust2
17,NJ54Q30BC,clust2
18,PRYSPS4J8,clust2
19,QEHE9GQJ9,clust3
20,JRHTP7TAO,clust3
21,BFK101JZW,clust3
22,T82GB8LD5,clust3
23,BDHPZL57O,clust3
24,XSCX4VYIK,clust4
25,PA28L0DFW,clust4
26,TT7YL7Y6J,clust4
27,4XO0F9HCK,clust4
28,OA6LKV5G1,clust5
29,MEUIYHZ9H,clust5
30,XCF2N6FF4,clust5
31,46M4O096Z,clust5
32,T0BC1V0F0,clust5
33,M0C5U013G,clust5
34,2LD518R29,clust6
35,YCXT663A9,clust6
36,1M763Y9R3,clust6
37,FFMF3KHG9,clust6
38,3BEOXC7K2,clust7
39,42NA63K9A,clust7
40,K1TAC2ZVW,clust7
41,BIFNQEWTS,clust7
42,YD504A2RI,clust7
43,QOMHGXNZA,clust7
44,K4T2MN7V4,clust8
45,QEHE9GQJ9,clust8
46,7FJ1PZQUF,clust8
47,BFK101JZW,clust8
48,8PA2ABTRE,clust8
49,R4VPD3WS9,clust8
50,DAT5W4GU5,clust8
51,SEM9H7O7A,clust9
52,MVEFE6F1K,clust9
53,UITIHQ961,clust9
54,3F46P6O5B,clust9
55,RBD7VLG3P,clust9
56,JUH2F35X7,clust9
57,3KD0RN2SW,clust9
58,KDE3L8UDG,clust9
59,DY6J5S6XF,clust9
60,YRQNOTCWK,clust9
61,IAZTTPG94,clust9
62,Z7OIEE9DO,clust9
63,JC0FH4TGD,clust9
64,BL0CKWAKG,clust9
65,5ZZ4G3I4F,clust9
66,SOPOZLX7Q,clust9
67,0ER1U41VH,clust9
68,BJHHR8JQV,clust9
69,XL18PMO40,clust10
70,CHPA2U69Q,clust10
71,OX19ZL94V,clust10
72,3NX72VKD5,clust10
73,07RMNYRLE,clust10
74,FKGSNGYLM,clust10
75,R0WRVKY8Y,clust10
76,VNGXLI81J,clust10
77,97D4L5QK8,clust10
78,TX176AWVB,clust10
79,SEM9H7O7A,clust11
80,MMONN2TXY,clust11
81,D97FS2NRU,clust11
82,8JD7SVTV9,clust11
83,JSY8T0IMZ,clust12
84,DS9AXNYK5,clust12
85,TSSY6JDTK,clust12
86,PMW2S6IIH,clust12
87,XOU8JCSTC,clust12
88,ZNJP4U625,clust13
89,U1Y0FFPJD,clust13
90,XJP74V4GG,clust13
91,F1RVCKHBW,clust13
92,JRNI6AH8O,clust13
93,RSP3K3BEH,clust14
94,71O9TKF4D,clust14
95,A52NB24Q6,clust14
96,CMTLLG7EM,clust14
97,3BUDCNTIF,clust14
98,KE858AAOF,clust14
99,5VPH4QM2C,clust15
100,SGN6OS97M,clust15
101,S2X6U4IOX,clust15
102,C1AGWUA7C,clust15
103,3Z1RV3ZJK,clust15
104,LMNI7ZLFG,clust15
105,LDIZ2JC1U,clust15
106,H2MP9BFXS,clust15
107,GTZNK1QH3,clust15
108,MLM5UR4L5,clust15
109,KECC3TTY1,clust15
110,722I7N2K2,clust15
111,EM0ZLUN5B,clust15
112,MFXXME5I4,clust16
113,0RCZJAI50,clust16
114,9H5IYUYQM,clust16
115,M6UGK03PB,clust16
116,ETKCMOAAL,clust16
117,5RJGXQMAQ,clust17
118,W2J6EHXC9,clust17
119,1492JGBAL,clust17
120,HX44HA4SD,clust17
121,XKI22066V,clust17
122,HCIVSRO6X,clust17
123,YH87HNPU3,clust17
124,8SH9PTVEZ,clust17
125,1F0L8CQS0,clust18
126,D51M44XIN,clust18
127,IOV3TDX3Q,clust18
128,WMXT96JLX,clust18
129,6EGMUZA2A,clust18
130,OLK7U7ME7,clust18
131,NOC5HJJI6,clust18
132,TVVNYUVWY,clust18
133,Q7OS53749,clust19
134,3Z1RV3ZJK,clust19
135,05JUOSEAW,clust19
136,J966QEMZJ,clust19
137,S5PJVNMRZ,clust19
138,GRAHULZDQ,clust19
139,0FUC8DGN1,clust20
140,FHYOPPYU5,clust20
141,XGUW262YR,clust20
142,9DLDYNXG4,clust20
143,U5UIGPYXT,clust20
144,DVBFAVOUB,clust20
145,J3SFOINBS,clust20
146,OA2H5EO3K,clust20
147,FJD5K72IG,clust20
148,1I14ITNP5,clust20
149,505J6LWAT,clust20
150,A20U90K8W,clust20
151,NY33XEI54,clust20
152,DUZW4XU0G,clust20
153,2WWSHU5ZH,clust20
154,NHW50M9SR,clust20
155,REPR7RVUE,clust20
156,XP5HPZ6C9,clust20
157,JXXNFVPQ6,clust20
158,XF3DBO5JX,clust20
159,7NP531ILM,clust20
160,E33GB5L29,clust20
161,IHJO63F35,clust20
162,4XQV9LU7P,clust20
163,X42A8BJ55,clust20
164,M63BPTX3O,clust20
165,SGN6OS97M,clust21
166,LMNI7ZLFG,clust21
167,LDIZ2JC1U,clust21
168,KECC3TTY1,clust21
169,H8GMXCO6V,clust22
170,46YVC9CGW,clust22
171,YW1ZTR3FS,clust22
172,XP5HPZ6C9,clust22
173,RP6W63240,clust23
174,IS658HMV0,clust23
175,5U19XUQ3U,clust23
176,NSBJF0XOG,clust23
177,9EREVD2KU,clust23
178,NQYBMMCKP,clust23
179,JUH2F35X7,clust24
180,UITIHQ961,clust24
181,RBD7VLG3P,clust24
182,Z7OIEE9DO,clust24
183,JC0FH4TGD,clust24
184,DY6J5S6XF,clust24
185,KDE3L8UDG,clust24
186,IAZTTPG94,clust24
187,0ER1U41VH,clust24
188,BJHHR8JQV,clust24
189,FZ6FD47OB,clust25
190,QFJIAKE5H,clust25
191,IYI5VEH95,clust25
192,8PBHVWA0A,clust25
193,ZWPNO151P,clust25
194,DBILY9MM5,clust25
195,Z7NASINZP,clust25
196,BVBMED8A7,clust25
197,YTMOQH9O4,clust25
198,9RQ8K3S97,clust25
199,GXG3V1DBW,clust25
200,GM76MXT5M,clust25
201,WFBA75RNJ,clust25
202,4MAL5N5UE,clust25
203,YMLVSHM3M,clust25
204,EX5PMUDX2,clust25
205,WM41WWRLD,clust25
206,S5470W9IA,clust25
207,L4LXZDO4P,clust25
208,L6I6GRLJG,clust25
209,M6MVQBI0K,clust25
210,OJJ264OQZ,clust25
211,4TG9EAS4I,clust26
212,3VM7G2Q4W,clust26
213,JMY7FGHHH,clust26
214,BFFHDPUOP,clust26
215,9QR0YHSJH,clust26
216,BHVS7FNJ6,clust26
217,RSGJHXUZ9,clust26
218,51W63VVLS,clust26
219,GQKBUFMIJ,clust26
220,E9OWG5M3H,clust26
221,3KBLN92U5,clust26
222,Q6MSO29BD,clust26
223,U3WQE4IXI,clust26
224,CVG6JJEK3,clust26
225,L5UY42A9A,clust26
226,2GGE5VN6N,clust26
227,WVLQ26SKZ,clust26
