id,xxx,prediction
0,0002Y95AH,clust2
1,00BDGD39O,clust0
2,00BXY8FC6,clust7
3,00GQL2IWT,clust19
4,00W2KCFX9,clust5
5,013OZL4P3,clust12
6,01E274Y0C,clust0
7,01FAGPAVL,clust19
8,01FTWI84P,clust2
9,01KIIEDQ4,clust5
10,0212RYAIQ,clust14
11,025YVX9E3,clust3
12,02FQNTE3S,clust4
13,02OX8CTN4,clust3
14,02VMSMWWO,clust11
15,02WR4P2HP,clust5
16,033YI3EMM,clust17
17,035U113G4,clust11
18,03EH72R04,clust14
19,03G16D644,clust4
20,03MV7X1A1,clust3
21,03Q63121B,clust5
22,03QSLVBGH,clust5
23,03Y5F68G5,clust9
24,047Y7M1EV,clust1
25,049V7UIY2,clust1
26,04AO5B0HC,clust7
27,04KORE5KO,clust18
28,04LVQB4SB,clust19
29,04RKDX7KB,clust19
30,04TU8Y9B4,clust1
31,052GR2FXM,clust5
32,05D56B3VI,clust16
33,05H1CXWXY,clust4
34,05I5R7P0W,clust11
35,05JUOSEAW,clust18
36,06172T8B9,clust19
37,067DQOPQJ,clust4
38,06UKJIB8G,clust5
39,06YLV2BHR,clust14
40,06Z0VO4C6,clust4
41,070XGGSQP,clust19
42,071V1TRQI,clust9
43,077VF9NZW,clust7
44,07I8WO1U7,clust18
45,07LPY66PG,clust7
46,07RMNYRLE,clust17
47,07UF0TAS2,clust11
48,0839WXTGC,clust12
49,086T4T767,clust9
50,08A783IV2,clust8
51,08IMUE053,clust15
52,08J9GGNRN,clust5
53,08QDT69TM,clust15
54,08YCOXAZC,clust5
55,090C5L33C,clust1
56,09D3KAAT7,clust10
57,09L7SK2RK,clust19
58,09QX9VZX2,clust11
59,09R74BR8Q,clust16
60,09U5W8BJA,clust18
61,0A5GU73ZB,clust11
62,0A6A0GGT8,clust0
63,0AAMUVG2Z,clust4
64,0ADGGSSM7,clust5
65,0AFJEF3L8,clust0
66,0AXF2EU2H,clust3
67,0AXIE6P24,clust5
68,0BE9SB4KQ,clust19
69,0BIH1M3SK,clust7
70,0BU5981M9,clust10
71,0C6XRXYM9,clust0
72,0CBJL4WSW,clust14
73,0CMYC3KAA,clust4
74,0CY1U5TND,clust19
75,0CYTAJCZE,clust5
76,0CZR70GWO,clust5
77,0D45XFKYZ,clust19
78,0D7NR2MXX,clust17
79,0D8FHDU1X,clust11
80,0DAJ0ZPEQ,clust19
81,0DOU35HBV,clust5
82,0DQM40BFD,clust4
83,0DZR4DSBD,clust19
84,0E1U9Y4U8,clust17
85,0EI4YQA59,clust10
86,0EL7ZABGG,clust12
87,0EMUZ2LLC,clust4
88,0ER1U41VH,clust13
89,0EU0UKJHB,clust0
90,0F163X2HB,clust19
91,0F1S5U5BR,clust5
92,0FAZE2ZBU,clust10
93,0FEP2LMS7,clust5
94,0FGWMZ0DQ,clust4
95,0FLFGE0IE,clust4
96,0FN2E66QZ,clust1
97,0FUC8DGN1,clust0
98,0FZ1RSULB,clust14
99,0G4JY1OF0,clust19
100,0GJLYGSTK,clust11
101,0GWA2YJVZ,clust5
102,0H101HQSG,clust11
103,0H5QSEHX7,clust1
104,0HRZX1AT6,clust15
105,0HZTR2M5X,clust1
106,0I0RVPC2P,clust19
107,0ID9P70XJ,clust9
108,0IT9P5CMJ,clust4
109,0ITZRZH6P,clust6
110,0IVA3H6IO,clust7
111,0J93GXNN8,clust17
112,0J9EINGR5,clust11
113,0JBHHO9MW,clust5
114,0JBO8VL80,clust0
115,0JDNZLZNK,clust17
116,0JJDDS05M,clust9
117,0JO4LRY0G,clust5
118,0JPFGP3BK,clust7
119,0K0KSSYUF,clust1
120,0K83581KZ,clust16
121,0KLXPTX6J,clust14
122,0KV8RCJG2,clust14
123,0L5RL97WA,clust9
124,0LHQQVVNL,clust12
125,0LIW8B8J4,clust0
126,0LLAFWHVW,clust14
