id,xxx,prediction
0,MAL944N3R,cluster1
1,2P070I351,cluster1
2,LPAXLZS35,cluster6
3,2IUMVXWR8,cluster6
4,IYMKO9LF4,cluster2
5,017MQ4ZTB,cluster4
6,6CJFVPO4U,cluster8
7,P86LCJZFV,cluster3
8,LBTT9SRNJ,cluster1
9,DYH3UPRT6,cluster1
10,JZ6Q6V0R5,cluster2
11,T250BTXXU,cluster8
12,IFX93GJK8,cluster4
13,OSPYXC9U4,cluster8
14,A7TW4V5CD,cluster6
15,B6FEXDXUO,cluster1
16,ZYFR256H1,cluster4
17,3JSN2VWV7,cluster4
18,Q37JRFXTW,cluster7
19,28M7DYGEP,cluster1
20,PZNPQ46RS,cluster5
21,UBUXH9NLV,cluster2
22,9FUNHOUC1,cluster4
23,VWYSAPVHO,cluster1
24,QJ5DSH3NY,cluster1
25,QDXK2JS22,cluster6
26,IXX3IKOLV,cluster1
27,QLEGK1JTE,cluster1
28,21WBF7ZRC,cluster5
29,55ZLDFLEC,cluster5
30,A8NJNTUAP,cluster2
31,L50Q4BX30,cluster8
32,1ZNPP2DQE,cluster9
33,NLMNS6ZBE,cluster9
34,MN3WX5TYR,cluster4
35,SLTDQXECZ,cluster8
36,HCBBUEXAT,cluster6
37,FZ3B6KUNV,cluster6
38,SN8IXBGNC,cluster6
39,U95UK89JI,cluster2
40,YWRQWOGXY,cluster2
41,C7D87FBF8,cluster2
42,HX89G50GS,cluster2
43,N837YTFXG,cluster2
44,9RVD407AX,cluster2
45,FJMB2DUMK,cluster1
46,JZCDWEAFX,cluster1
47,Q1AIGEI4G,cluster4
48,QLKMDFD8J,cluster2
49,D27WFS9HE,cluster5
50,JGZKYHQQ8,cluster8
51,ICWF42WLO,cluster8
52,MWXMABNZK,cluster1
53,W4T6O8VCZ,cluster2
54,DRDJGTRDZ,cluster8
55,N2YG5HP59,cluster4
56,M79RIKP8D,cluster4
57,33M5Q585D,cluster1
58,00SK4UT8M,cluster6
59,EBAGR7X75,cluster8
60,DBFCCYYS4,cluster3
61,KD322MLPI,cluster1
62,PMYWGHUJG,cluster1
63,8EWRF1FAR,cluster1
64,DAML1TID0,cluster1
