id,xxx,prediction
0,W4FFOFLYN,clust1
1,H9AF709JH,clust1
2,FUM1OK9W6,clust1
3,VCB0LZX7I,clust1
4,SBPOI6HYL,clust1
5,BH8ZL9JCT,clust1
6,7MCTKS8IG,clust1
7,QSBK1B8GI,clust1
8,2P070I351,clust1
9,N3UB8Z30Q,clust1
10,BX1VAF0QY,clust1
11,PTNXFN33L,clust1
12,2Z66WDDQN,clust1
13,YUSYZD6KG,clust1
14,MMTB1NVWU,clust1
15,ZL6K349D9,clust1
16,TG9IJ7PCZ,clust1
17,RCOEF9350,clust1
18,50N4XTO87,clust1
19,9GOPE3OWX,clust1
20,AU6WSDEUP,clust1
21,KPK295O6W,clust1
22,ZR7S7G4XE,clust1
23,VFC3N0VEI,clust1
24,9F3FYSVL2,clust1
25,RC266IYJ7,clust2
26,7ILFQN0TV,clust2
27,RVY67OIBL,clust2
28,P8CZ7BDOG,clust2
29,HEREGW8KL,clust2
30,V9GHUVRBU,clust2
31,BOG8GTODY,clust2
32,D7R3OMQIW,clust2
33,16ELCVUDK,clust2
34,53AYU9YKY,clust2
35,LPAXLZS35,clust2
36,5702YWGJ5,clust2
37,99OZHEY9V,clust2
38,31Z3H4U6E,clust2
39,YPJSQB1NK,clust2
40,PUMQJTWLW,clust2
41,JPKJAH97P,clust2
42,UY1LK1BTA,clust2
43,XUSKBCDT9,clust2
44,EELR1A0G2,clust3
45,QQ6BD4D2D,clust3
46,S9P3QOPMG,clust3
47,E8A04E06X,clust3
48,CQ5MRTVRC,clust3
49,J20JO79EW,clust3
50,GW22XF6MX,clust3
51,9X0451TQD,clust3
52,8D7U8QAEH,clust3
53,QHEFVIXIA,clust3
54,XUFDPC5ML,clust3
55,S79GK1YW1,clust3
56,Z0EIKAHHZ,clust3
57,FZ3B6KUNV,clust3
58,6GZWUM8DI,clust3
59,CKQAO2YRU,clust3
60,AM1HY9ZZF,clust3
61,AE97CRRAR,clust3
62,UEVUEDHLJ,clust3
63,2IUMVXWR8,clust3
64,N0ZZKWWAU,clust3
65,6DTLELS4F,clust3
66,VCD8JOI4W,clust3
67,4SI5OA687,clust3
68,EW7CKRMH8,clust3
69,5Y8J20547,clust3
70,LP85A7B2X,clust3
71,3VCEUFWI4,clust3
72,WH3TSNVVD,clust3
73,A1GTOG1CB,clust3
74,TDEV4PXK7,clust3
75,C4GSH2NQ2,clust3
76,GBA127MMT,clust3
77,IIL1XOSUO,clust3
78,E87HE5EWW,clust3
79,1UJL5Z6WC,clust3
80,AYXCC6BVF,clust3
81,R6V1TNN7B,clust3
82,ZR6UKXQT7,clust3
83,T72R7A2E1,clust3
84,NFJEM1ACM,clust3
85,PWMZV8MTW,clust3
86,UIY56OQ4S,clust3
87,IYMKO9LF4,clust4
88,LD1SWN70J,clust4
89,H66AUDKPD,clust4
90,M9FLOWVQ1,clust4
91,CY3O0RO8T,clust4
92,E6PID6J5B,clust4
93,6G20IK99Y,clust4
94,SKL8TMPMD,clust4
95,BJOSFV6B5,clust4
96,A0XAR0HRD,clust4
97,RYG51FHWD,clust4
98,C2HZAQN0N,clust4
99,W4XXV8ZMX,clust4
100,QRRN7CSHX,clust4
101,C71RQR5FW,clust4
102,IPDK3TDCZ,clust4
103,4C3JV88FZ,clust4
104,V2GR08KV6,clust4
105,LDH4HB0I9,clust4
106,6LLQ3GU6Z,clust4
107,W3K7SFXQW,clust4
108,6I241ZLVX,clust5
109,VEQR0IVBO,clust5
110,HHEXOYDST,clust5
111,7CFUO3TTO,clust5
112,I26IPHDR6,clust5
113,A1PKWD0UC,clust5
114,47ZBJ4DR2,clust5
115,017MQ4ZTB,clust5
116,WQVTZCD54,clust5
117,1E6XK2WIL,clust5
118,8M8AMIVK1,clust5
119,TF6OP847I,clust5
120,LQ3XNJLA9,clust5
121,HM4XIJIOY,clust5
122,E6GPUZ1AK,clust5
123,5NWUG7MQW,clust5
124,58CTIQHOO,clust5
125,D33BMN0VX,clust5
126,W1IEC2IM4,clust5
127,9B3BKOGA2,clust5
128,P345SIQIU,clust5
129,FMEZQH9K1,clust5
130,48HF96K4H,clust5
131,9L52CD0XW,clust5
132,VJV5BOSOZ,clust5
133,E0UZQH1FW,clust5
134,BFSYESSOG,clust5
135,Z3FCDXN0H,clust6
136,NSFZAIGAJ,clust6
137,YS0G9EFU5,clust6
138,XJC5EIYZD,clust6
139,CVPJN3242,clust6
140,H02007F2P,clust6
141,1TNOIAKEH,clust6
142,8CTLQQSMJ,clust6
143,PR2087AOS,clust6
